county,city,zip,service,provider_name,provider_phone,provider_url,notes,verified_at
Palm Beach,,,electric,Florida Power & Light,,https://www.fpl.com/support/contact.html,County-wide default electric provider,2026-09-08T18:28:23Z
Palm Beach,Lake Worth Beach,,electric,Lake Worth Beach Electric Utility,,https://lakeworthbeachfl.gov/locations/utilities-customer-service,City-run electric — overrides FPL default inside city limits,2026-09-08T18:28:23Z
Palm Beach,,,gas,Florida Public Utilities,,https://fpuc.com/,County-wide default natural gas provider,2026-09-08T18:28:23Z
Palm Beach,,,water,Palm Beach County Water Utilities,561-740-4600,https://discover.pbc.gov/waterutilities/Pages/default.aspx,County-wide default water provider (unincorporated + Glades cities absorbed 2013),2026-09-08T18:28:23Z
Palm Beach,West Palm Beach,,water,City of West Palm Beach Public Utilities,561-822-1300,https://www.wpb.org/Departments/Public-Utilities,City runs its own water,2026-09-08T18:28:23Z
Palm Beach,Boca Raton,,water,City of Boca Raton Utility Services,561-393-7750,https://www.myboca.us/384/Utility-Services,City runs its own water,2026-09-08T18:28:23Z
Palm Beach,Boynton Beach,,water,City of Boynton Beach Utilities,,https://www.boynton-beach.org/279/Utilities,City runs its own water,2026-09-08T18:28:23Z
Palm Beach,Delray Beach,,water,City of Delray Beach Utilities,561-243-7100,https://www.delraybeachfl.gov/services/utility-billing,City runs its own water,2026-09-08T18:28:23Z
Palm Beach,Jupiter,,water,Town of Jupiter Utilities,561-741-2300,https://www.jupiter.fl.us/259/Water-Stormwater-Utilities,Town runs its own water,2026-09-08T18:28:23Z
Palm Beach,Lake Worth Beach,,water,City of Lake Worth Beach Utilities,,https://lakeworthbeachfl.gov/locations/utilities-customer-service,City runs its own water,2026-09-08T18:28:23Z
Palm Beach,Riviera Beach,,water,City of Riviera Beach Utility Special District,561-845-4050,https://www.rivierabch.com/government/utility,City runs its own water,2026-09-08T18:28:23Z
Palm Beach,Wellington,,water,Village of Wellington Utilities,561-791-4010,https://www.wellingtonfl.gov/232/Utilities,Village runs its own water,2026-09-08T18:28:23Z
Palm Beach,Palm Beach,,water,City of West Palm Beach Public Utilities,561-822-1300,https://www.wpb.org/Departments/Public-Utilities,Town of Palm Beach buys water from City of West Palm Beach,2026-09-08T18:28:23Z
Palm Beach,Lantana,,water,Town of Lantana Water Utilities,561-540-5000,https://www.lantana.org/210/Utilities,Town runs its own water,2026-09-08T18:28:23Z
Palm Beach,Palm Beach Gardens,,water,Seacoast Utility Authority,561-627-2900,https://www.sua.com/,Regional utility authority (owner cited seacoastutilities.org — real domain is sua.com),2026-09-08T18:28:23Z
Palm Beach,North Palm Beach,,water,Seacoast Utility Authority,561-627-2900,https://www.sua.com/,Regional utility authority,2026-09-08T18:28:23Z
Palm Beach,Lake Park,,water,Seacoast Utility Authority,561-627-2900,https://www.sua.com/,Regional utility authority,2026-09-08T18:28:23Z
Palm Beach,Juno Beach,,water,Seacoast Utility Authority,561-627-2900,https://www.sua.com/,Regional utility authority,2026-09-08T18:28:23Z
