id,canonical_name,old_city,new_city,method,zip_code,corrected_at
8d2b4d0f-e552-468c-8fc2-0ad4ec85afcd,10080 COMMERCIAL CONDO *(***)=*(***),Royal Palm Beach,West Palm Beach,zip_lookup,33411,2026-05-03T14:38:59.487868
af6d53b9-3262-444e-881a-5f77bda1d952,1100 CABANA CONDO***,Riviera Beach,West Palm Beach,zip_lookup,33404,2026-05-03T14:38:59.705453
b824db9e-ad81-42a1-b8e0-9928f2897c4d,111 FIRST DELRAY CONDO,Delray Beach,Boca Raton,zip_lookup,33431,2026-05-03T14:38:59.918026
cf594005-4ad5-46c8-9c32-f4253f5942c8,177 179 MAIN STREET CONDO ***,Palm Beach,Jupiter,zip_lookup,33458,2026-05-03T14:39:00.122564
d82f33bf-b00c-42bf-b749-e0e6e9adee15,1820 WEST TENTH CONDO*,Riviera Beach,West Palm Beach,zip_lookup,33404,2026-05-03T14:39:00.331254
2c95eccc-11c9-4123-bbe5-d48d03921d87,1880 10TH CONDO,Riviera Beach,West Palm Beach,zip_lookup,33404,2026-05-03T14:39:00.540164
bc462102-97f9-4106-89f3-66627fe88c43,2560 SOUTH OCEAN BOULEVARD CONDOMINIUM***,Palm Beach,Boca Raton,zip_lookup,33432,2026-05-03T14:39:00.743908
056979be-2e59-49f0-9a89-9fd37ac5fc94,2700 NORTH OCEAN CONDO,Riviera Beach,West Palm Beach,zip_lookup,33404,2026-05-03T14:39:00.949879
1fe74212-23e7-40d8-8933-c246de12eb19,2774 SOUTH OCEAN INC,Palm Beach,Boca Raton,zip_lookup,33432,2026-05-03T14:39:01.166826
b5a8bd37-3aa5-49c0-b2cf-11f74756b9de,3200 SOUTH OCEAN A SEAGATE CONDO,Highland Beach,Boca Raton,zip_lookup,33487,2026-05-03T14:39:01.728786
31bd4754-84fe-48a7-986a-a70506267350,3550 SOUTH OCEAN CONDO,South Palm Beach,Palm Beach,zip_lookup,33480,2026-05-03T14:39:01.937420
87eb7cad-7301-46a0-bf58-7bac28fe2eed,3621 SOUTH OCEAN VILLAS CONDO,Highland Beach,Boca Raton,zip_lookup,33487,2026-05-03T14:39:02.201936
c6057d01-d5ba-463d-a4fc-840bfcdd448d,4001 NORTH OCEAN CONDO,Gulf Stream,Delray Beach,zip_lookup,33483,2026-05-03T14:39:02.628627
89261708-9f51-4888-8d82-c1a2093c5299,45 Ocean Condo,Highland Beach,Boca Raton,zip_lookup,33487,2026-05-03T14:39:02.845727
3fbc11d4-5e28-423a-bab7-e433121a173a,45 OCEAN CONDOMINIUM,Highland Beach,Boca Raton,zip_lookup,33487,2026-05-03T14:39:03.065983
f6e8a0cb-bcd0-43a8-bcba-757475174f9a,4513 SOUTH OCEAN CONDO,Highland Beach,Boca Raton,zip_lookup,33487,2026-05-03T14:39:03.257759
d15d8e31-198d-494d-93f1-035b35397a43,5000 NORTH OCEAN CONDO,Riviera Beach,West Palm Beach,zip_lookup,33404,2026-05-03T14:39:03.447767
9ada5415-4710-4bfa-b1b1-09667a3c4170,"700 Ocean Drive Homeowners' Association, Inc.",Juno Beach,North Palm Beach,zip_lookup,33408,2026-05-03T14:39:03.677527
9cde8c72-71f9-4092-9bc7-7bddaf9a1d06,802 OLD DIXIE HIGHWAY CONDOMINIUM BUILDING*,Lake Park,West Palm Beach,zip_lookup,33403,2026-05-03T14:39:03.890145
780d36a8-f660-4c86-b926-6ebf59fd577d,804 OLD DIXIE HIGHWAY CONDOMINIUM BUILDING*,Lake Park,West Palm Beach,zip_lookup,33403,2026-05-03T14:39:04.119620
0d610d71-dacb-409b-9ee6-dd0c7f67bada,ABERDEEN ARMS CONDO,Highland Beach,Boca Raton,zip_lookup,33487,2026-05-03T14:39:04.331834
63151cd0-dd3b-4a5a-8158-68193b0de3a6,Aberdeen Arms Condominium Th Pt Of Sly,Highland Beach,Boca Raton,zip_lookup,33487,2026-05-03T14:39:04.552439
080cf189-a792-445d-b069-373a85c052a4,ACREHOME PARK IN,Riviera Beach,West Palm Beach,zip_lookup,33404,2026-05-03T14:39:04.751692
7d586128-319f-4610-90ab-8b5e1a5f951a,ACREHOME PARK SECOND ADD IN,Riviera Beach,West Palm Beach,zip_lookup,33404,2026-05-03T14:39:04.954280
63620c75-7c12-40ff-b9b0-49995eab3c53,ADDISON AT SINGER ISLAND CONDO,Palm Beach Shores,West Palm Beach,zip_lookup,33404,2026-05-03T14:39:05.118991
30a7d4c7-ed14-4de1-9ac5-5fb0ca5581ac,ALHO HEIGHTS,Lantana,Lake Worth,zip_lookup,33462,2026-05-03T14:39:05.294704
bcbeb288-a3ea-4aaf-ba3b-640879b807a7,ALMONT VILLAS CONDO**,Tequesta,Jupiter,zip_lookup,33469,2026-05-03T14:39:05.550710
fb611b83-7e94-4574-865c-b54e5312493c,"Alpine Villas West Homeowners Association, Inc.",Greenacres,Lake Worth,zip_lookup,33463,2026-05-03T14:39:05.726392
eb72306c-8b16-405c-af90-0c0593a7f414,Ambassadors V North,Highland Beach,Boca Raton,zip_lookup,33487,2026-05-03T14:39:05.899496
8ce9bd8d-04ae-4aaf-b85f-63fb3a3c5236,AMBASSADORS V NORTH CONDO,Highland Beach,Boca Raton,zip_lookup,33487,2026-05-03T14:39:06.087387
44e4a949-5efd-4c73-9960-27ef0860fa46,AMBASSADORS V SOUTH CONDO,Highland Beach,Boca Raton,zip_lookup,33487,2026-05-03T14:39:06.268813
083f8b38-6309-4e8b-97fb-b7f74e71c7de,AMENDED PLAT OF LANTANA,Lantana,Lake Worth,zip_lookup,33462,2026-05-03T14:39:06.450968
64063ecd-02d1-46b1-b7ac-307bc470eb53,"Anchorage Point Property Owners' Association, Inc.",Tequesta,Jupiter,zip_lookup,33469,2026-05-03T14:39:06.607393
0b7300d0-c694-44db-9f3a-c5fb58da2ab9,ANGUILLA CAY CONDOMINIUM***,Lantana,Lake Worth,zip_lookup,33462,2026-05-03T14:39:06.781625
9248eaa9-0b46-4b58-a6f5-29f140f6fb3d,Anthony Groves,Royal Palm Beach,Wellington,zip_lookup,33414,2026-05-03T14:39:06.990991
83c974c1-0e60-4460-95e9-5e36af139708,Apartments At Timberlake Condominium,Lake Park,Palm Beach Gardens,zip_lookup,33418,2026-05-03T14:39:07.159026
6faebb8c-4c46-419a-85a5-0d979d981fba,APARTMENTS AT TIMBERLAKE CONDOMINIUM***,Lake Park,West Palm Beach,zip_lookup,33403,2026-05-03T14:39:07.343543
e083bfc0-7112-4687-881e-18216bebe948,AQUARIUS CONDO,Riviera Beach,West Palm Beach,zip_lookup,33404,2026-05-03T14:39:07.513612
79805a35-cb76-4306-b205-f729a9606fee,ARMOUR MANOR,Tequesta,Jupiter,zip_lookup,33469,2026-05-03T14:39:07.687078
